Age,Age_density,Deck,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Ticket_density,Title
25.0,23,5,2,7.65,0,3,0,0,0,1,2
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
0.83,2,8,2,29.0,2,2,0,0,1,2,0
30.0,25,8,2,12.475,0,3,1,0,1,2,1
22.0,27,8,2,9.0,0,3,0,0,0,1,2
29.0,20,8,2,9.5,0,3,0,0,1,1,2
28.0,1,8,1,7.7875,0,3,1,0,1,1,1
28.0,25,8,2,47.1,0,1,0,0,0,1,2
17.0,13,8,2,10.5,0,2,1,0,1,1,1
33.0,15,8,2,15.85,0,3,1,3,1,2,3
16.0,17,8,2,34.375,3,3,0,1,0,4,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
23.0,15,2,2,249.00622000000033,2,1,1,3,1,4,1
24.0,30,8,2,8.05,0,3,0,0,0,1,2
29.0,20,8,2,8.05,0,3,0,0,0,1,2
20.0,15,8,2,7.8542,0,3,0,0,0,1,2
46.0,3,4,2,61.175,0,1,0,1,0,1,2
26.0,18,8,2,20.575,2,3,0,1,0,2,2
59.0,2,8,2,7.25,0,3,0,0,0,1,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
71.0,2,0,0,34.6542,0,1,0,0,0,1,2
23.0,15,3,0,63.3583,1,1,0,0,1,1,2
34.0,15,8,2,23.0,1,2,1,0,1,2,3
34.0,15,8,2,26.0,0,2,0,1,0,2,2
28.0,25,8,2,7.8958,0,3,1,0,0,1,1
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
21.0,24,3,2,77.2875,1,1,0,0,0,2,2
33.0,15,8,2,8.6542,0,3,0,0,0,1,2
37.0,6,8,2,7.925,0,3,0,2,0,1,2
28.0,25,8,2,7.8958,0,3,0,0,0,1,2
21.0,24,8,2,7.65,0,3,1,0,1,1,1
28.0,1,8,2,7.775,0,3,0,0,1,1,2
38.0,11,8,2,7.8958,0,3,0,0,0,1,2
28.0,1,8,1,24.15,0,3,1,1,1,3,1
47.0,9,2,2,52.0,0,1,0,0,0,2,2
14.5,1,8,0,14.4542,0,3,1,1,0,2,1
22.0,27,8,2,8.05,0,3,0,0,0,1,2
20.0,15,8,2,9.825,0,3,1,1,0,1,1
17.0,13,8,0,14.4583,0,3,1,0,0,2,1
21.0,24,8,2,7.925,0,3,0,0,0,1,2
70.5,1,8,1,7.75,0,3,0,0,0,1,2
29.0,20,8,2,21.0,0,2,0,1,0,2,2
24.0,30,1,0,247.5208,1,1,0,0,0,2,2
2.0,10,8,2,31.275,2,3,1,4,0,7,1
21.0,24,8,2,73.5,0,2,0,2,0,5,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
32.5,2,8,0,30.0708,0,2,0,1,0,2,2
32.5,2,4,2,13.0,0,2,1,0,1,1,1
54.0,8,3,2,77.2875,1,1,0,0,0,2,2
12.0,1,8,0,11.2417,0,3,0,1,1,2,0
28.0,1,8,1,7.75,0,3,0,0,0,1,2
24.0,30,8,2,7.1417,0,3,0,0,1,1,2
28.0,1,5,0,22.3583,1,3,1,1,1,2,1
45.0,12,8,2,6.975,0,3,0,0,0,1,2
33.0,15,8,0,7.8958,0,3,0,0,0,1,2
20.0,15,8,2,7.05,0,3,0,0,0,1,2
47.0,9,8,2,14.5,0,3,1,1,0,1,3
29.0,20,8,2,26.0,0,2,1,1,1,1,3
25.0,23,8,2,13.0,0,2,0,0,0,1,2
23.0,15,8,0,15.0458,0,2,0,0,0,1,2
19.0,25,3,2,26.2833,2,1,1,0,1,1,1
37.0,6,2,2,53.1,0,1,0,1,0,2,2
16.0,17,8,2,9.2167,0,3,0,0,0,2,2
24.0,30,1,0,79.2,0,1,0,0,0,2,2
28.0,1,8,0,15.2458,2,3,1,0,0,2,3
22.0,27,8,2,7.75,0,3,1,0,1,1,1
24.0,30,8,2,15.85,0,3,1,1,1,2,3
19.0,25,8,1,6.75,0,3,0,0,0,1,2
18.0,26,8,2,11.5,0,2,0,0,0,1,2
19.0,25,8,2,36.75,1,2,0,1,0,2,2
27.0,18,8,2,7.7958,0,3,0,0,1,1,2
9.0,8,8,2,34.375,2,3,1,2,0,4,1
36.5,1,5,2,26.0,2,2,0,0,0,3,2
42.0,13,8,2,13.0,0,2,0,0,0,1,4
51.0,7,8,2,12.525,0,2,0,0,0,1,4
22.0,27,2,2,66.6,0,1,1,1,1,2,3
55.5,1,8,2,8.05,0,3,0,0,0,1,2
40.5,2,8,2,14.5,2,3,0,0,0,1,2
28.0,1,8,2,7.3125,0,3,0,0,0,1,2
51.0,7,8,0,61.3792,1,1,0,0,0,1,2
16.0,17,8,1,7.7333,0,3,1,0,1,1,1
30.0,25,8,2,8.05,0,3,0,0,0,1,2
28.0,1,8,2,8.6625,0,3,0,0,0,1,2
28.0,1,8,2,69.55,2,3,0,8,0,7,0
44.0,9,8,2,16.1,1,3,0,0,0,1,2
40.0,13,8,2,15.75,0,2,1,0,1,1,3
26.0,18,8,2,7.775,0,3,0,0,0,1,2
17.0,13,8,2,8.6625,0,3,0,0,0,1,2
1.0,7,8,2,39.6875,1,3,0,4,0,6,0
9.0,8,8,2,20.525,2,3,0,0,1,3,0
28.0,1,4,2,55.0,1,1,1,0,1,2,3
45.0,12,8,2,27.9,4,3,1,1,0,6,3
28.0,1,8,2,25.925,0,1,0,0,0,1,2
28.0,25,8,2,56.4958,0,3,0,0,0,7,2
61.0,3,1,2,33.5,0,1,0,0,0,1,2
4.0,10,8,1,29.125,1,3,0,4,0,5,0
1.0,7,8,2,11.1333,1,3,1,1,1,3,1
21.0,24,8,2,7.925,0,3,0,0,0,1,2
56.0,4,0,0,30.6958,0,1,0,0,0,1,2
18.0,26,8,2,7.8542,1,3,0,1,0,1,2
28.0,1,8,2,25.4667,1,3,0,3,0,4,0
50.0,10,2,0,28.7125,0,1,1,0,0,1,1
30.0,25,8,2,13.0,0,2,0,0,0,1,2
36.0,22,8,2,0.0,0,3,0,0,0,4,2
28.0,1,8,2,69.55,2,3,1,8,0,7,1
28.0,1,8,0,15.05,0,2,0,0,0,1,2
9.0,8,8,2,31.3875,2,3,0,4,0,4,0
1.0,7,5,2,39.0,1,2,0,2,1,2,0
4.0,10,8,2,22.025,2,3,1,0,1,1,1
28.0,1,0,2,50.0,0,1,0,0,0,1,2
28.0,1,8,1,15.5,0,3,1,1,1,2,3
45.0,12,8,2,26.55,0,1,0,0,1,1,2
40.0,13,8,1,15.5,1,3,0,1,0,2,2
36.0,22,8,2,7.8958,0,3,0,0,0,1,2
32.0,18,8,2,13.0,0,2,1,0,1,1,3
19.0,25,8,2,13.0,0,2,0,0,0,1,2
19.0,25,8,2,7.8542,0,3,1,1,1,1,1
3.0,6,5,2,26.0,1,2,0,1,1,3,0
44.0,9,1,0,27.7208,0,1,1,0,1,1,3
58.0,5,1,0,146.5208,0,1,1,0,1,2,1
28.0,1,8,1,7.75,0,3,0,0,0,1,2
42.0,13,8,2,8.4042,1,3,0,0,0,1,2
28.0,1,8,1,7.75,0,3,1,0,1,1,1
24.0,30,8,2,13.0,0,2,1,0,0,1,1
28.0,25,8,2,9.5,0,3,0,0,0,1,2
28.0,1,8,2,69.55,2,3,0,8,0,7,2
34.0,15,8,2,6.4958,0,3,0,0,0,1,2
45.5,2,8,0,7.225,0,3,0,0,0,1,2
18.0,26,8,2,8.05,0,3,0,0,1,1,2
2.0,10,6,2,10.4625,1,3,1,0,0,2,1
32.0,18,8,2,15.85,0,3,0,1,0,2,2
26.0,18,8,0,18.7875,0,3,0,0,1,2,2
16.0,17,8,1,7.75,0,3,1,0,1,1,1
40.0,13,0,0,31.0,0,1,0,0,1,1,2
24.0,30,8,2,7.05,0,3,0,0,0,1,2
35.0,18,8,2,21.0,0,2,1,0,1,1,1
22.0,27,8,2,7.25,0,3,0,0,0,1,2
30.0,25,8,2,13.0,0,2,0,0,0,1,2
28.0,1,8,1,7.75,0,3,0,1,0,1,2
31.0,17,3,0,113.275,0,1,1,1,1,3,1
27.0,18,8,2,7.925,0,3,1,0,1,1,1
42.0,13,8,2,27.0,0,2,0,1,0,2,2
32.0,18,3,0,76.2917,0,1,1,0,1,1,1
30.0,25,8,2,10.5,0,2,0,0,0,1,2
16.0,17,8,2,8.05,0,3,0,0,1,1,2
27.0,18,8,2,13.0,0,2,0,0,0,1,2
51.0,7,8,2,8.05,0,3,0,0,0,1,2
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
38.0,11,2,2,90.0,0,1,0,1,1,2,2
22.0,27,8,2,9.35,0,3,0,0,0,1,2
19.0,25,8,2,10.5,0,2,0,0,1,1,2
20.5,1,8,2,7.25,0,3,0,0,0,1,2
18.0,26,8,2,13.0,0,2,0,0,0,1,2
28.0,1,8,2,25.4667,1,3,1,3,0,4,1
35.0,18,2,2,83.475,0,1,1,1,1,2,3
29.0,20,8,2,7.775,0,3,0,0,0,1,2
59.0,2,8,2,13.5,0,2,0,0,0,1,2
5.0,4,8,2,31.3875,2,3,1,4,1,4,1
24.0,30,8,2,10.5,0,2,0,0,0,1,2
28.0,1,8,2,7.55,0,3,1,0,0,1,1
44.0,9,8,2,26.0,0,2,0,1,0,1,2
8.0,4,8,2,26.25,2,2,1,0,1,3,1
19.0,25,8,2,10.5,0,2,0,0,0,1,2
33.0,15,8,2,12.275,0,2,0,0,0,1,2
28.0,1,8,0,14.4542,0,3,1,1,0,2,1
28.0,1,8,1,15.5,0,3,1,1,1,2,1
29.0,20,8,2,10.5,0,2,0,0,0,1,2
22.0,27,8,2,7.125,0,3,0,0,0,1,2
30.0,25,8,0,7.225,0,3,0,0,0,1,2
44.0,9,2,1,90.0,0,1,0,2,0,2,4
25.0,23,8,2,7.775,0,3,1,0,0,1,1
24.0,30,8,2,14.5,2,2,1,0,1,2,3
37.0,6,3,2,52.5542,1,1,0,1,1,2,2
54.0,8,8,2,26.0,0,2,0,1,0,2,4
28.0,1,8,2,7.25,0,3,0,0,0,1,2
29.0,20,6,2,10.4625,1,3,1,1,0,2,3
62.0,4,2,2,26.55,0,1,0,0,0,1,2
30.0,25,8,2,16.1,0,3,0,1,0,2,2
41.0,6,8,2,20.2125,2,3,1,0,0,2,3
29.0,20,8,0,15.2458,2,3,1,0,1,1,3
28.0,1,8,0,79.2,0,1,1,0,1,1,3
30.0,25,1,2,86.5,0,1,1,0,1,3,1
35.0,18,8,0,249.00622000000033,0,1,1,0,1,3,1
50.0,10,8,2,26.0,1,2,1,0,1,2,3
28.0,1,8,1,7.75,0,3,0,0,0,1,2
3.0,6,8,2,31.3875,2,3,0,4,1,4,0
52.0,6,4,2,79.65,1,1,0,1,0,3,2
40.0,13,1,2,0.0,0,1,0,0,0,1,2
28.0,1,8,1,7.75,0,3,1,0,0,1,1
36.0,22,8,2,10.5,0,2,0,0,0,1,2
16.0,17,8,2,39.6875,1,3,0,4,0,6,2
25.0,23,8,2,7.775,0,3,0,1,1,1,2
58.0,5,2,2,153.4625,1,1,1,0,1,3,3
35.0,18,2,2,135.6333,0,1,1,0,1,3,1
28.0,1,8,2,31.0,0,1,0,0,0,2,2
25.0,23,8,2,0.0,0,3,0,0,1,4,2
41.0,6,8,2,19.5,1,2,1,0,1,2,3
37.0,6,2,0,29.7,1,1,0,0,0,1,2
28.0,1,8,1,7.75,0,3,1,0,1,1,1
63.0,2,3,2,77.9583,0,1,1,1,1,3,1
45.0,12,8,2,7.75,0,3,1,0,0,1,1
28.0,1,8,2,0.0,0,2,0,0,0,3,2
7.0,3,8,1,29.125,1,3,0,4,0,5,0
35.0,18,8,2,20.25,1,3,1,1,1,2,3
65.0,3,8,1,7.75,0,3,0,0,0,1,2
28.0,25,8,2,7.8542,0,3,0,0,0,1,2
16.0,17,8,2,9.5,0,3,0,0,0,1,2
19.0,25,8,2,8.05,0,3,0,0,1,1,2
28.0,1,0,2,26.0,0,1,0,0,0,1,2
33.0,15,8,0,8.6625,0,3,0,0,0,1,2
30.0,25,8,2,9.5,0,3,0,0,1,1,2
22.0,27,8,2,7.8958,0,3,0,0,0,1,2
42.0,13,8,2,13.0,0,2,0,0,1,1,2
22.0,27,8,1,7.75,0,3,1,0,1,1,1
26.0,18,8,2,78.85,0,1,1,0,1,2,1
19.0,25,1,0,91.0792,0,1,1,1,1,2,3
36.0,22,3,0,12.875,0,2,0,0,0,1,2
24.0,30,8,2,8.85,0,3,1,0,0,1,1
24.0,30,8,2,7.8958,0,3,0,0,0,1,2
28.0,1,8,0,27.7208,0,1,0,0,0,1,2
23.5,1,8,0,7.2292,0,3,0,0,0,1,2
2.0,10,2,2,151.55,2,1,1,1,0,4,1
28.0,1,2,2,30.5,0,1,0,0,1,1,2
50.0,10,1,0,247.5208,1,1,1,0,1,2,3
28.0,1,8,1,7.75,0,3,1,0,1,1,1
28.0,1,8,1,23.25,0,3,0,2,1,2,2
19.0,25,8,2,0.0,0,3,0,0,0,4,2
28.0,1,4,1,12.35,0,2,1,0,1,1,1
28.0,1,8,2,8.05,0,3,0,0,0,1,2
0.92,1,2,2,151.55,2,1,0,1,1,4,0
28.0,1,8,0,110.8833,0,1,1,0,1,4,1
17.0,13,2,0,108.9,0,1,1,1,1,2,3
30.0,25,8,0,24.0,0,2,0,1,0,2,2
30.0,25,4,0,56.9292,0,1,1,0,1,2,1
24.0,30,2,0,83.1583,0,1,1,0,1,2,1
18.0,26,1,0,249.00622000000033,2,1,1,2,1,2,1
26.0,18,8,2,26.0,1,2,1,1,0,1,3
28.0,25,8,2,7.8958,0,3,0,0,0,1,2
43.0,5,8,2,26.25,1,2,0,1,0,3,2
26.0,18,8,2,7.8542,0,3,1,0,1,1,1
24.0,30,8,2,26.0,0,2,1,1,1,2,3
54.0,8,8,2,14.0,0,2,0,0,0,1,4
31.0,17,2,2,164.8667,2,1,1,0,1,2,1
40.0,13,4,0,134.5,1,1,1,1,1,2,3
22.0,27,8,2,7.25,0,3,0,0,0,1,2
27.0,18,8,2,7.8958,0,3,0,0,0,1,2
30.0,25,8,1,12.35,0,2,1,0,1,1,1
22.0,27,8,2,29.0,1,2,1,1,1,2,3
28.0,1,8,2,69.55,2,3,0,8,0,7,2
36.0,22,2,0,135.6333,0,1,1,0,1,3,1
61.0,3,8,2,6.2375,0,3,0,0,0,1,2
36.0,22,3,2,13.0,0,2,1,0,1,1,3
31.0,17,8,2,20.525,1,3,1,1,1,3,3
16.0,17,1,0,57.9792,1,1,1,0,1,2,1
28.0,1,8,1,23.25,0,3,1,2,1,2,1
45.5,2,2,2,28.5,0,1,0,0,0,1,2
38.0,11,2,2,153.4625,1,1,0,0,0,3,2
16.0,17,8,2,18.0,0,3,0,2,0,2,2
28.0,1,8,2,133.65,0,1,1,1,1,2,3
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
29.0,20,2,2,66.6,0,1,0,1,0,2,2
41.0,6,4,0,134.5,0,1,1,0,1,2,1
45.0,12,8,2,8.05,0,3,0,0,1,1,2
45.0,12,7,2,35.5,0,1,0,0,0,1,2
2.0,10,5,2,26.0,1,2,0,1,1,3,0
24.0,30,2,2,249.00622000000033,2,1,1,3,1,4,1
28.0,25,8,2,13.0,0,2,0,0,0,1,2
25.0,23,8,2,13.0,0,2,0,0,0,1,2
36.0,22,8,2,13.0,0,2,0,0,0,1,2
24.0,30,5,2,13.0,0,2,1,0,1,1,1
40.0,13,8,2,13.0,0,2,1,0,1,1,1
28.0,1,8,2,16.1,0,3,1,1,1,1,3
3.0,6,8,2,15.9,1,3,0,1,1,2,0
42.0,13,8,2,8.6625,0,3,0,0,0,1,2
23.0,15,8,2,9.225,0,3,0,0,0,1,2
28.0,1,2,2,35.0,0,1,0,0,0,1,2
15.0,5,8,0,7.2292,1,3,0,1,0,1,2
25.0,23,8,2,17.8,0,3,0,1,0,2,2
28.0,1,8,0,7.225,0,3,0,0,0,1,2
28.0,25,8,2,9.5,0,3,0,0,0,1,2
22.0,27,4,2,55.0,1,1,1,0,1,2,1
38.0,11,8,2,13.0,0,2,1,0,0,1,1
28.0,1,8,1,7.8792,0,3,1,0,1,1,1
28.0,1,8,1,7.8792,0,3,1,0,1,1,1
40.0,13,8,2,27.9,4,3,0,1,0,6,2
29.0,20,8,0,27.7208,0,2,0,1,0,1,2
45.0,12,8,0,14.4542,1,3,1,0,0,2,3
35.0,18,8,2,7.05,0,3,0,0,0,1,2
28.0,1,8,1,15.5,0,3,0,1,0,2,2
30.0,25,8,2,7.25,0,3,0,0,0,1,2
60.0,4,3,0,75.25,0,1,1,1,1,1,3
28.0,1,8,0,7.2292,0,3,1,0,1,1,3
28.0,1,8,1,7.75,0,3,1,0,1,1,1
24.0,30,1,0,69.3,0,1,1,0,1,2,3
25.0,23,4,0,55.4417,0,1,0,1,1,1,2
18.0,26,8,2,6.4958,0,3,0,1,0,1,2
19.0,25,8,2,8.05,0,3,0,0,0,1,2
22.0,27,8,0,135.6333,0,1,0,0,0,3,2
3.0,6,8,2,21.075,1,3,1,3,0,4,1
28.0,1,8,0,82.1708,0,1,1,1,1,2,3
22.0,27,8,2,7.25,0,3,1,0,1,1,1
27.0,18,2,0,211.5,2,1,0,0,0,1,2
20.0,15,8,0,4.0125,0,3,0,0,0,1,2
19.0,25,8,2,7.775,0,3,0,0,0,1,2
42.0,13,8,0,227.525,0,1,1,0,1,4,1
1.0,7,8,0,15.7417,2,3,1,0,1,2,1
32.0,18,8,2,7.925,0,3,0,0,0,1,2
35.0,18,8,2,52.0,0,1,1,1,1,2,3
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
18.0,26,8,2,73.5,0,2,0,0,0,5,2
1.0,7,8,2,46.9,2,3,0,5,0,6,0
36.0,22,8,2,13.0,0,2,1,0,1,1,1
28.0,1,8,1,7.7292,0,3,0,0,0,1,2
17.0,13,8,0,12.0,0,2,1,0,1,1,1
36.0,22,1,2,120.0,2,1,0,1,1,4,2
21.0,24,8,2,7.7958,0,3,0,0,1,1,2
28.0,25,8,2,7.925,0,3,0,2,0,1,2
23.0,15,3,0,113.275,0,1,1,1,1,3,1
24.0,30,6,2,16.7,2,3,1,0,1,2,3
22.0,27,8,2,7.7958,0,3,0,0,0,1,2
31.0,17,8,2,7.8542,0,3,1,0,0,1,1
46.0,3,8,2,26.0,0,2,0,0,0,2,2
23.0,15,8,2,10.5,0,2,0,0,0,1,4
28.0,25,8,2,12.65,0,2,1,0,1,1,3
39.0,14,8,2,7.925,0,3,0,0,1,1,2
26.0,18,8,2,8.05,0,3,0,0,0,1,2
21.0,24,8,2,9.825,0,3,1,1,0,1,1
28.0,25,8,2,15.85,0,3,0,1,0,2,2
20.0,15,8,2,8.6625,0,3,1,0,0,1,1
34.0,15,8,2,21.0,0,2,0,1,0,1,2
51.0,7,8,2,7.75,0,3,0,0,0,1,2
3.0,6,8,2,18.75,1,2,0,1,1,3,0
21.0,24,8,2,7.775,0,3,0,0,0,1,2
28.0,1,8,2,25.4667,1,3,1,3,0,4,1
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
28.0,1,8,1,6.8583,0,3,0,0,0,1,2
33.0,15,2,1,90.0,0,1,1,1,1,2,1
28.0,1,8,2,0.0,0,2,0,0,0,3,2
44.0,9,8,2,7.925,0,3,0,0,1,1,2
28.0,1,8,2,8.05,0,3,1,0,0,1,3
34.0,15,8,2,32.5,1,2,1,1,1,1,3
18.0,26,8,2,13.0,2,2,1,0,1,1,1
30.0,25,8,2,13.0,0,2,0,0,0,1,2
10.0,2,8,2,24.15,2,3,1,0,0,3,1
28.0,1,8,0,7.8958,0,3,0,0,0,1,2
21.0,24,8,1,7.7333,0,3,0,0,0,1,2
29.0,20,8,2,7.875,0,3,0,0,0,1,2
28.0,25,8,2,14.4,1,3,1,1,0,2,3
18.0,26,8,2,20.2125,1,3,0,1,0,2,2
28.0,1,8,2,7.25,0,3,0,0,0,1,2
28.0,25,8,2,26.0,0,2,1,1,1,1,3
19.0,25,8,2,26.0,0,2,1,0,1,2,1
28.0,1,8,1,7.75,0,3,0,0,0,1,2
32.0,18,4,2,8.05,0,3,0,0,1,1,2
28.0,25,2,2,26.55,0,1,0,0,1,1,2
28.0,1,8,2,16.1,0,3,1,1,1,2,3
42.0,13,8,2,26.0,0,2,1,1,1,1,3
17.0,13,8,2,7.125,0,3,0,0,0,1,2
50.0,10,4,2,55.9,0,1,0,1,0,2,2
14.0,6,1,2,120.0,2,1,1,1,1,4,1
21.0,24,8,2,34.375,2,3,1,2,0,4,1
24.0,30,8,2,18.75,3,2,1,2,1,3,3
64.0,2,2,2,249.00622000000033,4,1,0,1,0,4,2
31.0,17,8,2,10.5,0,2,0,0,0,1,2
45.0,12,8,2,26.25,1,2,1,1,1,3,3
20.0,15,8,2,9.5,0,3,0,0,0,1,2
25.0,23,8,2,7.775,0,3,0,1,0,1,2
28.0,25,8,2,13.0,0,2,1,0,1,1,1
28.0,1,8,2,8.1125,0,3,0,0,1,1,2
4.0,10,0,2,81.8583,2,1,0,0,1,1,0
13.0,2,8,2,19.5,1,2,1,0,1,2,1
34.0,15,8,2,26.55,0,1,0,0,1,1,2
5.0,4,8,0,19.2583,1,3,1,2,1,4,1
52.0,6,2,2,30.5,0,1,0,0,1,1,4
36.0,22,8,2,27.75,2,2,0,1,0,3,2
28.0,1,8,2,19.9667,0,3,0,1,0,1,2
30.0,25,2,0,27.75,0,1,0,0,0,1,2
49.0,6,2,0,89.1042,0,1,0,1,1,2,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
29.0,20,8,0,7.8958,0,3,0,0,1,1,2
65.0,3,4,2,26.55,0,1,0,0,0,1,2
28.0,1,3,2,51.8625,0,1,1,1,1,1,3
50.0,10,8,2,10.5,0,2,1,0,1,1,1
28.0,1,8,1,7.75,0,3,0,0,0,1,2
48.0,9,4,2,26.55,0,1,0,0,1,1,2
34.0,15,8,2,8.05,0,3,0,0,0,1,2
47.0,9,4,2,38.5,0,1,0,0,0,1,2
48.0,9,8,2,13.0,0,2,0,0,0,1,2
28.0,1,8,2,8.05,0,3,0,0,0,1,2
38.0,11,8,2,7.05,0,3,0,0,0,1,2
28.0,1,8,2,0.0,0,2,0,0,0,3,2
56.0,4,8,2,26.55,0,1,0,0,0,1,2
28.0,1,8,1,7.725,0,3,0,0,0,1,2
0.75,2,8,0,19.2583,1,3,1,2,1,4,1
28.0,1,8,2,7.25,0,3,0,0,0,1,2
38.0,11,8,2,8.6625,0,3,0,0,0,1,2
33.0,15,8,2,27.75,2,2,1,1,1,3,3
23.0,15,3,0,13.7917,0,2,1,0,1,1,3
22.0,27,8,2,9.8375,0,3,1,0,0,1,1
28.0,1,0,2,52.0,0,1,0,0,0,2,2
34.0,15,8,2,21.0,0,2,0,1,0,2,2
29.0,20,8,2,7.0458,0,3,0,1,0,1,2
22.0,27,8,2,7.5208,0,3,0,0,0,1,2
2.0,10,8,2,12.2875,1,3,1,0,1,1,1
9.0,8,8,2,46.9,2,3,0,5,0,6,0
28.0,1,8,2,0.0,0,2,0,0,0,1,2
50.0,10,8,2,8.05,0,3,0,0,0,1,2
63.0,2,8,2,9.5875,0,3,1,0,1,1,3
25.0,23,1,0,91.0792,0,1,0,1,1,2,2
28.0,1,8,2,25.4667,1,3,1,3,0,4,1
35.0,18,2,2,90.0,0,1,1,1,1,2,3
58.0,5,1,0,29.7,0,1,0,0,0,1,2
30.0,25,8,2,8.05,0,3,0,0,0,1,2
